Item,,,,Produced by:,Michael Gangl,MDPS,,,
MDPS_2_REQ-136,MDPS_2_REQ-138,L3,The user management system shall provide a common authentication mechanism,"A common interface to authentication would enable the same mechanism regardless of user point of entry, as well as centralize the addition/removal' of users. This will also facilitate authorization, roles, permissions, sharing, etc. across the service areas.",Test,"System Test, Integration Test",eso-prototype,user_management,authn.feature
MDPS_2_REQ-136,MDPS_2_REQ-139,L3,The user management system shall provide a common authorization mechanism,Used across all MMDPS services regardless of authenntication maechanisms,Test,System Test,eso-prototype,user_management,authz.feature
MDPS_2_REQ-136,MDPS_2_REQ-140,L3,The user management system shall provide the capability to add and remove users from authorization roles,Roles provide permissions via the adding and removal of users to roles,Test,System Test,eso-prototype,user_management,add_remove_user_from_roles.feature
MDPS_2_REQ-136,MDPS_2_REQ-141,L3,The user management system shall provide the capability to add and remove authorization roles,"Functionality to add/remove users from the system, along with managing their roles and assigned permissions",Test,System Test,eso-prototype,user_management,add_remove_roles.feature
MDPS_2_REQ-136,MDPS_2_REQ-142,L3,The user management system shall provide the capability to add and remove users from the MDPS,"Add a user to the MDPS- different from having access to the AWS accounts/resource on which MDPS is running. This is the access to APIs and services and Uis (dashboards, IDEs).",Test,System Test,eso-prototype,user_management,add_remove_users.feature
MDPS_2_REQ-136,MDPS_2_REQ-143,L3,The user management system shall allow for passwordless authentication,Ability to make service requests without including/sending of the password along with the request. implementation can be SSO or something else.,Test,System Test,,user_management,passwordless.feature
,TXT-14,,Open Science,,,,,,
MDPS_L1_REQ-5,MDPS_2_REQ-145,L2,"The MDPS shall be capable of specifying the data, algorithms and environments needed to reproduce workflow executions (Workflow Provenance System)","Given these descriptions and the environment is still supporting those components (e.g. the PGE and the OS/System it was run on), a user could reproduce the science processing of a given product or set of products. This would be useful for open science, disaster recovery, and on-demand processing where configurations are changed to produce a bespoke product based on delivered science team algorithms (e.g. on-demand raster, NISAR on demand)",,,,provenance,
MDPS_2_REQ-145,MDPS_2_REQ-219,L3,The provenance system shall support asynchronous process requests,"Due to its design as a workflow item, provenance cannot be a blocking step from the workflows. As such it must be able to accept provenance requests regardless of the status of the system.",Test,System Test,eso,provenance,async.feature
MDPS_2_REQ-145,MDPS_2_REQ-146,L3,The provenance system shall maintain persistent identifiers for algorithms used in data production,algorithm is an entity in the provenance chain for a product.,Test,System Test,,provenance,algorithm_persistent_identifiers.feature
MDPS_2_REQ-145,MDPS_2_REQ-147,L3,The provenance system shall maintain persistent identifiers for workflows used in data production,"workflow is an entity in the provenance chain for a product, can be referenced from the workflow catalog",Test,System Test,,provenance,workflow_persistent_identifiers.feature
MDPS_2_REQ-145,MDPS_2_REQ-148,L3,The provenance system shall maintain records of deployments used in data production,Allow for the provenance of deployments to understand the makeup of the system and artifacts. Deployments are not stored elsewhere and so a record needs to eb created for reference,Test,System Test,,provenance,deployment_provenance.feature
MDPS_2_REQ-145,MDPS_2_REQ-149,L3,The provenance system shall maintain records of environments used in data production,"Allow for the provenance of environments (OS, instance types, etc). Environments are not stored elsewhere and so a record needs to eb created for reference",Test,System Test,,provenance,environment_provenance.feature
MDPS_2_REQ-145,MDPS_2_REQ-195,L3,The provenance system shall maintain records of ancillary and auxiliary data used in data production,Aux and Anc data may be pre-staged to workers outside of the workflow being execute (e.g. a model is available at /models). We need to ensure we're capturing this information for provenance purposes.,Test,System Test,eso,provenance,anc_aux_provenance.feature
MDPS_L1_REQ-5,MDPS_2_REQ-150,L2,The MDPS shall provide a shared provenance catalog for the registration and storage of product provenance (Data Provenance System),the implementaiton where provenance is stored,,,,provenance,
MDPS_2_REQ-150,MDPS_2_REQ-151,L3,"The data provenance system shall store product provenance, at minimum, for the life of a project.","The provenance information, or how a product was made, the inputs, and the configurations used shall be stored in the MMDPS. The requirements for provenance are defined in The MMDPS shall manage asset provenance. these should be validated by the data store before being sent to the common provenance store.",Test,System Test,,provenance,lom_product_provenance.feature
MDPS_L1_REQ-1,MDPS_2_REQ-152,L2,The MDPS shall provide the capability for users to search and access provenance in the system. (Provenance Systems),"Users does not refer to ""public"" users, but rather the logged in users of the MMDPS.",,,,provenance,
MDPS_2_REQ-152,MDPS_2_REQ-153,L3,"The provenance systems shall allow users to search by identifier, name, and relationship","find data in the system by some identifier (e.g. algorithm unique id), algorithm common name (may not be unique), or in a relationship 'used by', 'creates' etc.",Test,System Test,,provenance,search_provenance.feature
MDPS_L1_REQ-5,MDPS_2_REQ-154,L2,The MDPS shall generate and store product provenance for MDPS generated data,,,,,provenance,
MDPS_2_REQ-154,MDPS_2_REQ-155,L3,Provenance systems shall represent provenance using the WC3-Prov standard,allow standard creation/consumption and allow implementation to change behind the scenes.,Test,"System Test, Integration Test",interface,provenance,wc3-prov.feature
MDPS_L1_REQ-5,MDPS_2_REQ-197,L2,MDPS Software Development shall comply with SPD-41a,,,,eso-prototype,open_science,
MDPS_2_REQ-197,MDPS_2_REQ-198,L3,"Restricted software, as defined in SPD-41a Appendix B, shall not be made publicly available without approval through the cognizant authority.",,Test,System Test,eso-prototype,,
MDPS_2_REQ-197,MDPS_2_REQ-199,L3,"For software developed at NASA Centers and released through the NPR 2210 process, Center Intellectual Property Counsel shall be consulted in the selection of the license to be used in the release of software.",Software developed as part of the MDPS needs to appropriately licensed,Demonstration,,eso-prototype,,
MDPS_2_REQ-197,MDPS_2_REQ-200,L3,"For publicly available software projects, ESD-funded software projects shall include a code of conduct and guidelines for how to make contributions.",Required components of open-source development,Test,System Test,eso-prototype,,
MDPS_2_REQ-197,MDPS_2_REQ-201,L3,"When released as open source software, source code for ESD-funded software shall be made available in a publicly accessible repository that is widely recognized by the community.","Open sourced, shareable code needs to be in a widely accessible location.",Test,System Test,"MDPS, eso-prototype",,
MDPS_2_REQ-197,MDPS_2_REQ-202,L3,Publicly available ESD-funded software shall be reported by the developers of the software so it can be indexed as part of the NASA catalog of software.,,Demonstration,,eso-prototype,,
MDPS_2_REQ-197,MDPS_2_REQ-203,L3,Publicly available ESD-funded software shall be citable using a persistent identifier.,DOI for publicly citable code,Test,System Test,"MDPS, eso-prototype",,
MDPS_2_REQ-197,MDPS_2_REQ-204,L3,"New technologies, including software, developed under ESD funding shall be reported to NASA at invention.nasa.gov.",,Demonstration,,eso-prototype,,
MDPS_2_REQ-197,MDPS_2_REQ-205,L3,"Mission software shall be developed openly in a publicly accessible, version-controlled platform that allows for contributions and engagement from the community.",,Test,System Test,eso-prototype,,
MDPS_2_REQ-197,MDPS_2_REQ-206,L3,"To achieve reproducibility, scientific software developed using ESD funding and used in support of a scientific, peer-reviewed publication shall be released as open source software no later than the publication date.","Includes MDPS softawre but also workflow and application packages developed by ESD funded projects.
 
 
   
 
 
  requires a way of delivering software (applicaiton packages- code, containers, descriptions) to archive facilities at time of data production (might be during or after mission processing).",Test,System Test,,,
